,Molecule Index,SMILES,Formula,Alcohol,Phenol,Ketone,Acid,Aldehyde,Ester,Aromatic,Nitrile,Isocyanate,Amine,Amide,Ether,Sulfide,Halide,Alkyl,Nitric oxide,Acetaldehyde,Benzyl,Iodine,Ethyl,Hydroxymethyl ,Nitro ,Benzene,Benzaldehyde,Alkyne ,C-O Stretching,C=O Stretching,O-H Stretching,N-H Stretching,triple bond C-H Stretching:,Degree_Unsaturation,Saturation
10,"5_89
",CCCCC(C(=O)O)Br,C6H11BrO2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1.0,0.0
11,"5_88
",CC(=O)OCCCCCl,C6H11ClO2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
12,"5_87
",C=C(CCl)Cl,C3H4Cl2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
13,"5_86
",C1COCCOCCOCCOCCOCCO1,C12H24O6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
14,"5_85
",C1COCCO1,C4H8O2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
15,"5_84
",C1COCOC1,C4H8O2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
16,"5_83
",CN(C)C(=O)N(C)C,C5H12N2O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
17,"5_82
",CC(C)(CCC(=O)O)C(=O)O,C7H12O4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.0,0.0
18,"5_81
",CC(C)(CC(=O)O)CC(=O)O,C7H12O4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.0,0.0
19,"5_80
",CC(=O)CC(OC)OC,C6H12O3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
20,"5_8
",CC(C)(C)C(C)(C)C,C8H18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
21,"5_79
",CCOC(=O)C(C)Br,C5H9BrO2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
22,"5_78
",CCCCCCN,C6H15N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0
23,"5_76
",CC(C)(C)CC(=O)O,C6H12O2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1.0,0.0
24,"5_75
",CC(C)COC(=O)C,C6H12O2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
25,"5_72
",CCOC(=O)CC#N,C5H7NO2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,0.0
26,"5_71
",CC(=O)C=C,C4H6O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
27,"5_70
",CCOC(=O)CO,C4H8O3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1.0,0.0
28,"5_7
",C(CC#N)C#N,C4H4N2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
29,"5_69
",CC(=O)N,C2H5NO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
30,"5_67
",CC1=C(C(=C(C(=C1C)C)C)C)C,C12H18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
31,"5_66
",CC1=CC(=C(C(=C1)C)C)C,C10H14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
32,"5_65
",CC1=C(C(=C(C=C1)C)C)C,C10H14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
33,"5_64
",CC1=CC(=C(C=C1C)C)C,C10H14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
34,"5_63
",CC1=CC(=C(C=C1)C)C,C9H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
35,"5_62
",CC1=C(C(=CC=C1)C)C,C9H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
36,"5_61
",CC1=CC(=CC(=C1)C)C,C9H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
37,"5_60
",C#CC1=CC(=CC(=C1)C#C)C#C,C12H6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10.0,0.0
38,"5_59
",COC1=C(C(=CC=C1)OC)OC,C9H12O3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0.0
39,"5_58
",C1=CC=C(C(=C1)O)O,C6H6O2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,0.0
40,"5_57
",C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,C14H12O3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,9.0,0.0
41,"5_56
",COC(C1=CC=CC=C1)OC,C9H12O2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0.0
42,"5_55
",C1=CC=C(C=C1)C(Cl)Cl,C7H6Cl2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
43,"5_54
",C1=CC(=CC=C1C2=CC=C(C=C2)Br)Br,C12H8Br2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0,0.0
44,"5_53
",C1=CC(=CC=C1Br)Br,C6H4Br2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
45,"5_52
",CCCC(=O)OC(=O)CCC,C8H14O3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0.0
46,"5_51
",CCC(=O)OCCOC(=O)CC,C8H14O4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0.0
47,"5_50
",CCOC(=O)CCC(=O)OCC,C8H14O4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
48,"5_5
",C(CBr)Br,C2H4Br2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
49,"5_48
",CC(C(=O)OC)C(=O)OC,C6H10O4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
50,"5_47
",CC(OC(=O)C)OC(=O)C,C6H10O4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
51,"5_46
",COC(=O)CCC(=O)OC,C6H10O4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
52,"5_45
",CC(=O)OCCOC(=O)C,C6H10O4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
53,"5_44
",CCOC(=O)C(=O)OCC,C6H10O4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
54,"5_43
",CCC(=O)OC(=O)CC,C6H10O3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0.0
55,"5_42
",CCOC(=O)OCC,C5H10O3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
56,"5_41
",CC(=O)CCC(=O)C,C6H10O2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
57,"5_4
",CCC(=O)OC,C4H8O2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0.0
58,"5_39
",C1=CC=C(C=C1)CNCC2=CC=CC=C2,C14H15N,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,8.0,0.0
59,"5_38
",C1=CC=C(C=C1)CCC2=CC=CC=C2,C14H14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.0,0.0
60,"5_37
",C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,C14H10O2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,10.0,0.0
61,"5_36
",CCOC=O,C3H6O2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
62,"5_35
",CC(=O)CC(=O)OC(C)(C)C,C8H14O3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
63,"5_34
",CCCC(=O)C1=CC=CC=C1,C10H12O,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,5.0,0.0
64,"5_33
",CC(C=O)C1=CC=CC=C1,C9H10O,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5.0,0.0
65,"5_32
",CCC(=O)C1=CC=CC=C1,C9H10O,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,5.0,0.0
66,"5_31
",CC(=O)CC1=CC=CC=C1,C9H10O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,5.0,0.0
67,"5_30
",CC(C1=CC=CC=C1)O,C8H10O,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.0,0.0
68,"5_3
",CCOC(=O)C,C4H8O2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
69,"5_29
",C1=CC=C(C=C1)CCO,C8H10O,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4.0,0.0
70,"5_283
",CCC(C)C1=CC=CC=C1,C10H14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.0,0.0
71,"5_282
",C1=CC=C2C=C(C=CC2=C1)Cl,C10H7Cl,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.0
72,"5_281
",CC1=CC2=CC=CC=C2C(=C1)C,C12H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.0
73,"5_280
",CC1=C2C=CC=C(C2=CC=C1)C,C12H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.0
74,"5_28
",C1=CC=C(C=C1)CN,C7H9N,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
75,"5_277
",C1COC=C1,C4H6O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0
76,"5_276
",C1C=CCO1,C4H6O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0
77,"5_275
",CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C,C13H17NO4,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,6.0,0.0
78,"5_274
",CC(=O)N[C@@H](CCC(=O)O)C(=O)O,C7H11NO5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3.0,0.0
79,"5_273
",CC(=O)N[C@@H](CC(=O)O)C(=O)O,C6H9NO5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3.0,0.0
80,"5_272
",COC1=C(C=CC(=C1)CC=C)O,C10H12O2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,5.0,0.0
81,"5_271
",CC(CC(C)(C)O)O,C6H14O2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0
82,"5_270
",C1C2CC3CC1CC(C2)C3,C10H16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0
83,"5_27
",C1=CC=C(C=C1)CC#N,C8H7N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.0,0.0
84,"5_269
",C=CCN,C3H7N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
85,"5_268
",CCOC(C=C)OCC,C7H14O2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
86,"5_267
",C(CC(=O)O)[C@@H](C(=O)O)N,C5H9NO4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.0,0.0
87,"5_266
",CC(=O)NC1CCSC1=O,C6H9NO2S,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,0.0
88,"5_265
",C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,C11H12N2O2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,7.0,0.0
89,"5_264
",CNC[C@@H](C1=CC(=C(C=C1)O)O)O,C9H13NO3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4.0,0.0
90,"5_263
",CC(=O)N[C@@H](CS)C(=O)O,C5H9NO3S,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2.0,0.0
91,"5_261
",C[C@@H]([C@H](C1=CC=CC=C1)O)NC,C10H15NO,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4.0,0.0
92,"5_26
",C1=CC=C(C=C1)CBr,C7H7Br,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
93,"5_259
",C1CCC(=O)NCC1,C6H11NO,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,0.0
94,"5_258
",C1CCC(=NO)C1,C5H9NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0
95,"5_257
",CN1CCOCC1,C5H11NO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
96,"5_256
",C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C18H12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.0,0.0
97,"5_255
",C1CCC2=C3CCCCC3=C4CCCCC4=C2C1,C18H24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0.0
98,"5_254
",C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,C14H8O2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,11.0,0.0
99,"5_25
",C1=CC=C(C=C1)CO,C7H8O,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,4.0,0.0
100,"5_248
",C1=CC=C2C(=C1)C=CS2,C8H6S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0,0.0
101,"5_247
",CC1=CN=CN1,C4H6N2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0
102,"5_246
",CCCC1=CC=CS1,C7H10S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0
103,"5_245
",CC(=O)C1=CC=CS1,C6H6OS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,0.0
104,"5_244
",C1=COC(=C1)C(=O)O,C5H4O3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4.0,0.0
105,"5_243
",CC1=CC(=O)OC1=O,C5H4O3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,0.0
106,"5_242
",C1C(O1)C2=CC=CC=C2,C8H8O,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.0,0.0
107,"5_241
",CC1=NC=NC=C1,C5H6N2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
108,"5_24
",COC1=CC=CC=C1,C7H8O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0.0
109,"5_239
",CC(C)OC(=O)C1=CN=CC=C1,C9H11NO2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,0.0
110,"5_238
",CC(=O)C1=CN=CC=C1,C7H7NO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0.0
111,"5_237
",CC1=CN=CC=C1,C6H7N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
112,"5_236
",CC1=CC=CC=N1,C6H7N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
113,"5_235
",CC1=CC=NC=C1,C6H7N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
114,"5_234
",C1=CC=NC=C1,C5H5N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
115,"5_233
",C1=CC=C(C=C1)C(F)(F)F,C7H5F3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
116,"5_232
",C1=CC=C(C=C1)F,C6H5F,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0
117,"5_23
",C(CC(=O)O)CN,C4H9NO2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1.0,0.0
118,"5_228
",CC(=CC=C(C)C)C,C8H14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
119,"5_227
",C/C=C/C(=O)OC,C5H8O2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0
120,"5_225
",CC(C)(CCC#N)C=O,C7H11NO,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0.0
121,"5_22
",C[C@@H](C(=O)O)N,C3H7NO2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1.0,0.0
122,"5_217
",C1=CC=C(C=C1)COCCCO,C10H14O2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4.0,0.0
123,"5_213
",C1=CC=C(C=C1)/C=C/CO,C9H10O,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5.0,0.0
124,"5_212
",C1=CC=C(C=C1)/C=C/C=O,C9H8O,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6.0,0.0
125,"5_21
",C(CC#N)CBr,C4H6BrN,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
126,"5_207
",CC1=CC=C(C=C1)S(=O)(=O)OCCOCCOCCOCCOS(=O)(=O)C2=CC=C(C=C2)C,C22H30O9S2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.0,0.0
127,"5_205
",C=CS(=O)(=O)C=C,C4H6O2S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
128,"5_202
",CCOS(=O)(=O)C1=CC=C(C=C1)C,C9H12O3S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0.0
129,"5_201
",C1=CC=C(C=C1)S/C=C/C(=O)O,C9H8O2S,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,6.0,0.0
130,"5_200
",C1CC(=O)C=C1,C5H6O,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0.0
131,"5_20
",C(CCl)CBr,C3H6BrCl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
132,"5_2
",CCC(=O)O,C3H6O2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1.0,0.0
133,"5_199
",C1CC=CC1,C5H8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
